Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
Cloudflare
Acquia
dev
UAT
webhook
memcache
docksal
Hiscox
deprovision
symlink
whitelist
whitelisting
Drutiny
Jira
